origin_datetime,forecast_datetime,horizon_h,temp_forecast_c
2022-01-01 12:00:00+00:00,2022-01-02 02:00:00+00:00,14,-1.35
2022-01-01 12:00:00+00:00,2022-01-02 03:00:00+00:00,15,-1.01
2022-01-01 12:00:00+00:00,2022-01-02 04:00:00+00:00,16,-0.75
2022-01-01 12:00:00+00:00,2022-01-02 05:00:00+00:00,17,0.52
2022-01-01 12:00:00+00:00,2022-01-02 06:00:00+00:00,18,1.85
2022-01-01 12:00:00+00:00,2022-01-02 07:00:00+00:00,19,4.03
2022-01-01 12:00:00+00:00,2022-01-02 08:00:00+00:00,20,2.03
2022-01-01 12:00:00+00:00,2022-01-02 09:00:00+00:00,21,3.77
2022-01-01 12:00:00+00:00,2022-01-02 10:00:00+00:00,22,6.11
2022-01-01 12:00:00+00:00,2022-01-02 11:00:00+00:00,23,5.7
2022-01-01 12:00:00+00:00,2022-01-02 12:00:00+00:00,24,5.24
2022-01-01 12:00:00+00:00,2022-01-02 13:00:00+00:00,25,6.62
2022-01-01 12:00:00+00:00,2022-01-02 14:00:00+00:00,26,4.77
2022-01-01 12:00:00+00:00,2022-01-02 15:00:00+00:00,27,5.44
2022-01-01 12:00:00+00:00,2022-01-02 16:00:00+00:00,28,7.5
2022-01-01 12:00:00+00:00,2022-01-02 17:00:00+00:00,29,5.0
2022-01-01 12:00:00+00:00,2022-01-02 18:00:00+00:00,30,7.97
2022-01-01 12:00:00+00:00,2022-01-02 19:00:00+00:00,31,2.8
2022-01-01 12:00:00+00:00,2022-01-02 20:00:00+00:00,32,5.12
2022-01-01 12:00:00+00:00,2022-01-02 21:00:00+00:00,33,6.06
2022-01-01 12:00:00+00:00,2022-01-02 22:00:00+00:00,34,8.48
2022-01-01 12:00:00+00:00,2022-01-02 23:00:00+00:00,35,1.48
2022-01-01 12:00:00+00:00,2022-01-03 00:00:00+00:00,36,1.21
2022-01-01 12:00:00+00:00,2022-01-03 01:00:00+00:00,37,3.01
2022-01-01 12:00:00+00:00,2022-01-03 02:00:00+00:00,38,-0.94
2022-01-01 12:00:00+00:00,2022-01-03 03:00:00+00:00,39,1.95
2022-01-01 12:00:00+00:00,2022-01-03 04:00:00+00:00,40,3.58
2022-01-01 12:00:00+00:00,2022-01-03 05:00:00+00:00,41,3.58
2022-01-01 12:00:00+00:00,2022-01-03 06:00:00+00:00,42,0.36
2022-01-01 12:00:00+00:00,2022-01-03 07:00:00+00:00,43,2.64
2022-01-01 12:00:00+00:00,2022-01-03 08:00:00+00:00,44,4.35
2022-01-01 12:00:00+00:00,2022-01-03 09:00:00+00:00,45,4.23
2022-01-01 12:00:00+00:00,2022-01-03 10:00:00+00:00,46,5.55
2022-01-01 12:00:00+00:00,2022-01-03 11:00:00+00:00,47,1.09
2022-01-01 12:00:00+00:00,2022-01-03 12:00:00+00:00,48,3.57
2022-01-02 00:00:00+00:00,2022-01-02 01:00:00+00:00,1,-0.12
2022-01-02 00:00:00+00:00,2022-01-02 02:00:00+00:00,2,-1.59
2022-01-02 00:00:00+00:00,2022-01-02 03:00:00+00:00,3,-0.77
2022-01-02 00:00:00+00:00,2022-01-02 04:00:00+00:00,4,-0.14
2022-01-02 00:00:00+00:00,2022-01-02 05:00:00+00:00,5,0.26
2022-01-02 00:00:00+00:00,2022-01-02 06:00:00+00:00,6,1.03
2022-01-02 00:00:00+00:00,2022-01-02 07:00:00+00:00,7,3.99
2022-01-02 00:00:00+00:00,2022-01-02 08:00:00+00:00,8,3.39
2022-01-02 00:00:00+00:00,2022-01-02 09:00:00+00:00,9,5.09
2022-01-02 00:00:00+00:00,2022-01-02 10:00:00+00:00,10,3.23
2022-01-02 00:00:00+00:00,2022-01-02 11:00:00+00:00,11,5.91
2022-01-02 00:00:00+00:00,2022-01-02 12:00:00+00:00,12,6.35
2022-01-02 00:00:00+00:00,2022-01-02 13:00:00+00:00,13,4.92
2022-01-02 00:00:00+00:00,2022-01-02 14:00:00+00:00,14,6.37
2022-01-02 00:00:00+00:00,2022-01-02 15:00:00+00:00,15,6.09
2022-01-02 00:00:00+00:00,2022-01-02 16:00:00+00:00,16,6.64
2022-01-02 00:00:00+00:00,2022-01-02 17:00:00+00:00,17,6.46
2022-01-02 00:00:00+00:00,2022-01-02 18:00:00+00:00,18,5.89
2022-01-02 00:00:00+00:00,2022-01-02 19:00:00+00:00,19,3.43
2022-01-02 00:00:00+00:00,2022-01-02 20:00:00+00:00,20,9.29
2022-01-02 00:00:00+00:00,2022-01-02 21:00:00+00:00,21,5.44
2022-01-02 00:00:00+00:00,2022-01-02 22:00:00+00:00,22,4.55
2022-01-02 00:00:00+00:00,2022-01-02 23:00:00+00:00,23,5.37
2022-01-02 00:00:00+00:00,2022-01-03 00:00:00+00:00,24,1.74
2022-01-02 00:00:00+00:00,2022-01-03 01:00:00+00:00,25,3.47
2022-01-02 00:00:00+00:00,2022-01-03 02:00:00+00:00,26,3.22
2022-01-02 00:00:00+00:00,2022-01-03 03:00:00+00:00,27,3.22
2022-01-02 00:00:00+00:00,2022-01-03 04:00:00+00:00,28,5.11
2022-01-02 00:00:00+00:00,2022-01-03 05:00:00+00:00,29,2.56
2022-01-02 00:00:00+00:00,2022-01-03 06:00:00+00:00,30,-0.34
2022-01-02 00:00:00+00:00,2022-01-03 07:00:00+00:00,31,1.86
2022-01-02 00:00:00+00:00,2022-01-03 08:00:00+00:00,32,4.21
2022-01-02 00:00:00+00:00,2022-01-03 09:00:00+00:00,33,2.68
2022-01-02 00:00:00+00:00,2022-01-03 10:00:00+00:00,34,3.43
2022-01-02 00:00:00+00:00,2022-01-03 11:00:00+00:00,35,2.95
2022-01-02 00:00:00+00:00,2022-01-03 12:00:00+00:00,36,6.39
2022-01-02 00:00:00+00:00,2022-01-03 13:00:00+00:00,37,6.65
2022-01-02 00:00:00+00:00,2022-01-03 14:00:00+00:00,38,5.48
2022-01-02 00:00:00+00:00,2022-01-03 15:00:00+00:00,39,5.54
2022-01-02 00:00:00+00:00,2022-01-03 16:00:00+00:00,40,3.07
2022-01-02 00:00:00+00:00,2022-01-03 17:00:00+00:00,41,4.69
2022-01-02 00:00:00+00:00,2022-01-03 18:00:00+00:00,42,6.5
2022-01-02 00:00:00+00:00,2022-01-03 19:00:00+00:00,43,8.45
2022-01-02 00:00:00+00:00,2022-01-03 20:00:00+00:00,44,2.75
2022-01-02 00:00:00+00:00,2022-01-03 21:00:00+00:00,45,6.4
2022-01-02 00:00:00+00:00,2022-01-03 22:00:00+00:00,46,7.18
2022-01-02 00:00:00+00:00,2022-01-03 23:00:00+00:00,47,1.73
2022-01-02 00:00:00+00:00,2022-01-04 00:00:00+00:00,48,4.56
2022-01-02 12:00:00+00:00,2022-01-02 13:00:00+00:00,1,6.68
2022-01-02 12:00:00+00:00,2022-01-02 14:00:00+00:00,2,6.95
2022-01-02 12:00:00+00:00,2022-01-02 15:00:00+00:00,3,6.38
2022-01-02 12:00:00+00:00,2022-01-02 16:00:00+00:00,4,6.36
2022-01-02 12:00:00+00:00,2022-01-02 17:00:00+00:00,5,6.85
2022-01-02 12:00:00+00:00,2022-01-02 18:00:00+00:00,6,6.04
2022-01-02 12:00:00+00:00,2022-01-02 19:00:00+00:00,7,3.87
2022-01-02 12:00:00+00:00,2022-01-02 20:00:00+00:00,8,4.52
2022-01-02 12:00:00+00:00,2022-01-02 21:00:00+00:00,9,3.72
2022-01-02 12:00:00+00:00,2022-01-02 22:00:00+00:00,10,1.89
2022-01-02 12:00:00+00:00,2022-01-02 23:00:00+00:00,11,4.14
2022-01-02 12:00:00+00:00,2022-01-03 00:00:00+00:00,12,1.88
2022-01-02 12:00:00+00:00,2022-01-03 01:00:00+00:00,13,2.22
2022-01-02 12:00:00+00:00,2022-01-03 02:00:00+00:00,14,0.93
2022-01-02 12:00:00+00:00,2022-01-03 03:00:00+00:00,15,1.79
2022-01-02 12:00:00+00:00,2022-01-03 04:00:00+00:00,16,2.16
2022-01-02 12:00:00+00:00,2022-01-03 05:00:00+00:00,17,1.95
2022-01-02 12:00:00+00:00,2022-01-03 06:00:00+00:00,18,2.47
2022-01-02 12:00:00+00:00,2022-01-03 07:00:00+00:00,19,2.69
2022-01-02 12:00:00+00:00,2022-01-03 08:00:00+00:00,20,3.29
2022-01-02 12:00:00+00:00,2022-01-03 09:00:00+00:00,21,1.95
2022-01-02 12:00:00+00:00,2022-01-03 10:00:00+00:00,22,3.6
2022-01-02 12:00:00+00:00,2022-01-03 11:00:00+00:00,23,8.62
2022-01-02 12:00:00+00:00,2022-01-03 12:00:00+00:00,24,2.46
2022-01-02 12:00:00+00:00,2022-01-03 13:00:00+00:00,25,7.07
2022-01-02 12:00:00+00:00,2022-01-03 14:00:00+00:00,26,5.6
2022-01-02 12:00:00+00:00,2022-01-03 15:00:00+00:00,27,5.93
2022-01-02 12:00:00+00:00,2022-01-03 16:00:00+00:00,28,4.39
2022-01-02 12:00:00+00:00,2022-01-03 17:00:00+00:00,29,6.81
2022-01-02 12:00:00+00:00,2022-01-03 18:00:00+00:00,30,0.85
2022-01-02 12:00:00+00:00,2022-01-03 19:00:00+00:00,31,4.32
2022-01-02 12:00:00+00:00,2022-01-03 20:00:00+00:00,32,5.06
2022-01-02 12:00:00+00:00,2022-01-03 21:00:00+00:00,33,1.09
2022-01-02 12:00:00+00:00,2022-01-03 22:00:00+00:00,34,-1.91
2022-01-02 12:00:00+00:00,2022-01-03 23:00:00+00:00,35,3.02
2022-01-02 12:00:00+00:00,2022-01-04 00:00:00+00:00,36,0.94
2022-01-02 12:00:00+00:00,2022-01-04 01:00:00+00:00,37,-4.18
2022-01-02 12:00:00+00:00,2022-01-04 02:00:00+00:00,38,-2.03
2022-01-02 12:00:00+00:00,2022-01-04 03:00:00+00:00,39,-0.53
2022-01-02 12:00:00+00:00,2022-01-04 04:00:00+00:00,40,1.16
2022-01-02 12:00:00+00:00,2022-01-04 05:00:00+00:00,41,1.35
2022-01-02 12:00:00+00:00,2022-01-04 06:00:00+00:00,42,-3.17
2022-01-02 12:00:00+00:00,2022-01-04 07:00:00+00:00,43,-0.32
2022-01-02 12:00:00+00:00,2022-01-04 08:00:00+00:00,44,3.56
2022-01-02 12:00:00+00:00,2022-01-04 09:00:00+00:00,45,4.98
2022-01-02 12:00:00+00:00,2022-01-04 10:00:00+00:00,46,-0.79
2022-01-02 12:00:00+00:00,2022-01-04 11:00:00+00:00,47,4.24
2022-01-02 12:00:00+00:00,2022-01-04 12:00:00+00:00,48,3.5
2022-01-03 00:00:00+00:00,2022-01-03 01:00:00+00:00,1,1.38
2022-01-03 00:00:00+00:00,2022-01-03 02:00:00+00:00,2,1.61
2022-01-03 00:00:00+00:00,2022-01-03 03:00:00+00:00,3,1.77
2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,4,0.82
2022-01-03 00:00:00+00:00,2022-01-03 05:00:00+00:00,5,1.03
2022-01-03 00:00:00+00:00,2022-01-03 06:00:00+00:00,6,2.12
2022-01-03 00:00:00+00:00,2022-01-03 07:00:00+00:00,7,1.83
2022-01-03 00:00:00+00:00,2022-01-03 08:00:00+00:00,8,1.63
2022-01-03 00:00:00+00:00,2022-01-03 09:00:00+00:00,9,3.65
2022-01-03 00:00:00+00:00,2022-01-03 10:00:00+00:00,10,4.81
2022-01-03 00:00:00+00:00,2022-01-03 11:00:00+00:00,11,3.96
2022-01-03 00:00:00+00:00,2022-01-03 12:00:00+00:00,12,4.4
2022-01-03 00:00:00+00:00,2022-01-03 13:00:00+00:00,13,4.83
2022-01-03 00:00:00+00:00,2022-01-03 14:00:00+00:00,14,5.41
2022-01-03 00:00:00+00:00,2022-01-03 15:00:00+00:00,15,8.57
2022-01-03 00:00:00+00:00,2022-01-03 16:00:00+00:00,16,7.38
2022-01-03 00:00:00+00:00,2022-01-03 17:00:00+00:00,17,4.95
2022-01-03 00:00:00+00:00,2022-01-03 18:00:00+00:00,18,8.49
2022-01-03 00:00:00+00:00,2022-01-03 19:00:00+00:00,19,4.29
2022-01-03 00:00:00+00:00,2022-01-03 20:00:00+00:00,20,4.39
2022-01-03 00:00:00+00:00,2022-01-03 21:00:00+00:00,21,5.62
2022-01-03 00:00:00+00:00,2022-01-03 22:00:00+00:00,22,1.18
2022-01-03 00:00:00+00:00,2022-01-03 23:00:00+00:00,23,1.14
2022-01-03 00:00:00+00:00,2022-01-04 00:00:00+00:00,24,-1.92
2022-01-03 00:00:00+00:00,2022-01-04 01:00:00+00:00,25,-2.18
2022-01-03 00:00:00+00:00,2022-01-04 02:00:00+00:00,26,-0.92
2022-01-03 00:00:00+00:00,2022-01-04 03:00:00+00:00,27,-1.13
2022-01-03 00:00:00+00:00,2022-01-04 04:00:00+00:00,28,-0.36
2022-01-03 00:00:00+00:00,2022-01-04 05:00:00+00:00,29,-2.91
2022-01-03 00:00:00+00:00,2022-01-04 06:00:00+00:00,30,3.1
2022-01-03 00:00:00+00:00,2022-01-04 07:00:00+00:00,31,-2.33
2022-01-03 00:00:00+00:00,2022-01-04 08:00:00+00:00,32,3.55
2022-01-03 00:00:00+00:00,2022-01-04 09:00:00+00:00,33,0.37
2022-01-03 00:00:00+00:00,2022-01-04 10:00:00+00:00,34,2.72
2022-01-03 00:00:00+00:00,2022-01-04 11:00:00+00:00,35,3.0
2022-01-03 00:00:00+00:00,2022-01-04 12:00:00+00:00,36,2.85
2022-01-03 00:00:00+00:00,2022-01-04 13:00:00+00:00,37,2.78
2022-01-03 00:00:00+00:00,2022-01-04 14:00:00+00:00,38,4.75
2022-01-03 00:00:00+00:00,2022-01-04 15:00:00+00:00,39,9.06
2022-01-03 00:00:00+00:00,2022-01-04 16:00:00+00:00,40,2.31
2022-01-03 00:00:00+00:00,2022-01-04 17:00:00+00:00,41,5.24
2022-01-03 00:00:00+00:00,2022-01-04 18:00:00+00:00,42,1.83
2022-01-03 00:00:00+00:00,2022-01-04 19:00:00+00:00,43,-2.12
2022-01-03 00:00:00+00:00,2022-01-04 20:00:00+00:00,44,5.38
2022-01-03 00:00:00+00:00,2022-01-04 21:00:00+00:00,45,2.92
2022-01-03 00:00:00+00:00,2022-01-04 22:00:00+00:00,46,7.91
2022-01-03 00:00:00+00:00,2022-01-04 23:00:00+00:00,47,2.82
2022-01-03 00:00:00+00:00,2022-01-05 00:00:00+00:00,48,-2.41
2022-01-03 12:00:00+00:00,2022-01-03 13:00:00+00:00,1,4.85
2022-01-03 12:00:00+00:00,2022-01-03 14:00:00+00:00,2,6.29
2022-01-03 12:00:00+00:00,2022-01-03 15:00:00+00:00,3,5.76
2022-01-03 12:00:00+00:00,2022-01-03 16:00:00+00:00,4,7.06
2022-01-03 12:00:00+00:00,2022-01-03 17:00:00+00:00,5,6.41
2022-01-03 12:00:00+00:00,2022-01-03 18:00:00+00:00,6,6.22
2022-01-03 12:00:00+00:00,2022-01-03 19:00:00+00:00,7,3.98
2022-01-03 12:00:00+00:00,2022-01-03 20:00:00+00:00,8,3.7
2022-01-03 12:00:00+00:00,2022-01-03 21:00:00+00:00,9,4.04
2022-01-03 12:00:00+00:00,2022-01-03 22:00:00+00:00,10,2.34
2022-01-03 12:00:00+00:00,2022-01-03 23:00:00+00:00,11,1.85
2022-01-03 12:00:00+00:00,2022-01-04 00:00:00+00:00,12,1.64
2022-01-03 12:00:00+00:00,2022-01-04 01:00:00+00:00,13,-0.54
2022-01-03 12:00:00+00:00,2022-01-04 02:00:00+00:00,14,-2.85
2022-01-03 12:00:00+00:00,2022-01-04 03:00:00+00:00,15,-1.78
2022-01-03 12:00:00+00:00,2022-01-04 04:00:00+00:00,16,0.86
2022-01-03 12:00:00+00:00,2022-01-04 05:00:00+00:00,17,-1.38
2022-01-03 12:00:00+00:00,2022-01-04 06:00:00+00:00,18,0.09
2022-01-03 12:00:00+00:00,2022-01-04 07:00:00+00:00,19,4.05
2022-01-03 12:00:00+00:00,2022-01-04 08:00:00+00:00,20,2.02
2022-01-03 12:00:00+00:00,2022-01-04 09:00:00+00:00,21,3.33
2022-01-03 12:00:00+00:00,2022-01-04 10:00:00+00:00,22,1.73
2022-01-03 12:00:00+00:00,2022-01-04 11:00:00+00:00,23,2.7
2022-01-03 12:00:00+00:00,2022-01-04 12:00:00+00:00,24,2.34
2022-01-03 12:00:00+00:00,2022-01-04 13:00:00+00:00,25,3.41
2022-01-03 12:00:00+00:00,2022-01-04 14:00:00+00:00,26,6.47
2022-01-03 12:00:00+00:00,2022-01-04 15:00:00+00:00,27,3.68
2022-01-03 12:00:00+00:00,2022-01-04 16:00:00+00:00,28,2.87
2022-01-03 12:00:00+00:00,2022-01-04 17:00:00+00:00,29,8.53
2022-01-03 12:00:00+00:00,2022-01-04 18:00:00+00:00,30,3.73
2022-01-03 12:00:00+00:00,2022-01-04 19:00:00+00:00,31,5.38
2022-01-03 12:00:00+00:00,2022-01-04 20:00:00+00:00,32,5.96
2022-01-03 12:00:00+00:00,2022-01-04 21:00:00+00:00,33,4.58
2022-01-03 12:00:00+00:00,2022-01-04 22:00:00+00:00,34,-1.87
2022-01-03 12:00:00+00:00,2022-01-04 23:00:00+00:00,35,1.72
2022-01-03 12:00:00+00:00,2022-01-05 00:00:00+00:00,36,-4.36
2022-01-03 12:00:00+00:00,2022-01-05 01:00:00+00:00,37,-4.65
2022-01-03 12:00:00+00:00,2022-01-05 02:00:00+00:00,38,-0.85
2022-01-03 12:00:00+00:00,2022-01-05 03:00:00+00:00,39,-2.23
2022-01-03 12:00:00+00:00,2022-01-05 04:00:00+00:00,40,-8.02
2022-01-03 12:00:00+00:00,2022-01-05 05:00:00+00:00,41,-2.02
2022-01-03 12:00:00+00:00,2022-01-05 06:00:00+00:00,42,-4.48
2022-01-03 12:00:00+00:00,2022-01-05 07:00:00+00:00,43,0.77
2022-01-03 12:00:00+00:00,2022-01-05 08:00:00+00:00,44,0.08
2022-01-03 12:00:00+00:00,2022-01-05 09:00:00+00:00,45,-0.17
2022-01-03 12:00:00+00:00,2022-01-05 10:00:00+00:00,46,-1.75
2022-01-03 12:00:00+00:00,2022-01-05 11:00:00+00:00,47,-0.76
2022-01-03 12:00:00+00:00,2022-01-05 12:00:00+00:00,48,9.1
2022-01-04 00:00:00+00:00,2022-01-04 01:00:00+00:00,1,-0.83
2022-01-04 00:00:00+00:00,2022-01-04 02:00:00+00:00,2,-1.44
2022-01-04 00:00:00+00:00,2022-01-04 03:00:00+00:00,3,-0.44
2022-01-04 00:00:00+00:00,2022-01-04 04:00:00+00:00,4,0.72
2022-01-04 00:00:00+00:00,2022-01-04 05:00:00+00:00,5,0.08
2022-01-04 00:00:00+00:00,2022-01-04 06:00:00+00:00,6,0.29
2022-01-04 00:00:00+00:00,2022-01-04 07:00:00+00:00,7,1.64
2022-01-04 00:00:00+00:00,2022-01-04 08:00:00+00:00,8,0.82
2022-01-04 00:00:00+00:00,2022-01-04 09:00:00+00:00,9,3.84
2022-01-04 00:00:00+00:00,2022-01-04 10:00:00+00:00,10,3.67
2022-01-04 00:00:00+00:00,2022-01-04 11:00:00+00:00,11,2.08
2022-01-04 00:00:00+00:00,2022-01-04 12:00:00+00:00,12,4.36
2022-01-04 00:00:00+00:00,2022-01-04 13:00:00+00:00,13,4.0
2022-01-04 00:00:00+00:00,2022-01-04 14:00:00+00:00,14,4.25
2022-01-04 00:00:00+00:00,2022-01-04 15:00:00+00:00,15,3.04
2022-01-04 00:00:00+00:00,2022-01-04 16:00:00+00:00,16,5.39
2022-01-04 00:00:00+00:00,2022-01-04 17:00:00+00:00,17,2.2
2022-01-04 00:00:00+00:00,2022-01-04 18:00:00+00:00,18,3.65
2022-01-04 00:00:00+00:00,2022-01-04 19:00:00+00:00,19,6.17
2022-01-04 00:00:00+00:00,2022-01-04 20:00:00+00:00,20,5.76
2022-01-04 00:00:00+00:00,2022-01-04 21:00:00+00:00,21,3.62
2022-01-04 00:00:00+00:00,2022-01-04 22:00:00+00:00,22,0.71
2022-01-04 00:00:00+00:00,2022-01-04 23:00:00+00:00,23,2.25
2022-01-04 00:00:00+00:00,2022-01-05 00:00:00+00:00,24,-3.41
2022-01-04 00:00:00+00:00,2022-01-05 01:00:00+00:00,25,-3.86
2022-01-04 00:00:00+00:00,2022-01-05 02:00:00+00:00,26,-3.93
2022-01-04 00:00:00+00:00,2022-01-05 03:00:00+00:00,27,-2.53
2022-01-04 00:00:00+00:00,2022-01-05 04:00:00+00:00,28,1.26
2022-01-04 00:00:00+00:00,2022-01-05 05:00:00+00:00,29,-0.12
2022-01-04 00:00:00+00:00,2022-01-05 06:00:00+00:00,30,-1.68
2022-01-04 00:00:00+00:00,2022-01-05 07:00:00+00:00,31,-1.59
2022-01-04 00:00:00+00:00,2022-01-05 08:00:00+00:00,32,-1.22
2022-01-04 00:00:00+00:00,2022-01-05 09:00:00+00:00,33,0.26
2022-01-04 00:00:00+00:00,2022-01-05 10:00:00+00:00,34,2.37
2022-01-04 00:00:00+00:00,2022-01-05 11:00:00+00:00,35,1.51
2022-01-04 00:00:00+00:00,2022-01-05 12:00:00+00:00,36,0.1
2022-01-04 00:00:00+00:00,2022-01-05 13:00:00+00:00,37,2.09
2022-01-04 00:00:00+00:00,2022-01-05 14:00:00+00:00,38,1.48
2022-01-04 00:00:00+00:00,2022-01-05 15:00:00+00:00,39,0.27
2022-01-04 00:00:00+00:00,2022-01-05 16:00:00+00:00,40,0.51
2022-01-04 00:00:00+00:00,2022-01-05 17:00:00+00:00,41,0.7
2022-01-04 00:00:00+00:00,2022-01-05 18:00:00+00:00,42,-3.75
2022-01-04 00:00:00+00:00,2022-01-05 19:00:00+00:00,43,2.95
2022-01-04 00:00:00+00:00,2022-01-05 20:00:00+00:00,44,-9.43
2022-01-04 00:00:00+00:00,2022-01-05 21:00:00+00:00,45,-3.77
2022-01-04 00:00:00+00:00,2022-01-05 22:00:00+00:00,46,-4.59
2022-01-04 00:00:00+00:00,2022-01-05 23:00:00+00:00,47,-4.96
2022-01-04 00:00:00+00:00,2022-01-06 00:00:00+00:00,48,1.65
2022-01-04 12:00:00+00:00,2022-01-04 13:00:00+00:00,1,3.36
2022-01-04 12:00:00+00:00,2022-01-04 14:00:00+00:00,2,4.83
2022-01-04 12:00:00+00:00,2022-01-04 15:00:00+00:00,3,3.89
2022-01-04 12:00:00+00:00,2022-01-04 16:00:00+00:00,4,5.41
2022-01-04 12:00:00+00:00,2022-01-04 17:00:00+00:00,5,4.39
2022-01-04 12:00:00+00:00,2022-01-04 18:00:00+00:00,6,2.5
2022-01-04 12:00:00+00:00,2022-01-04 19:00:00+00:00,7,3.57
2022-01-04 12:00:00+00:00,2022-01-04 20:00:00+00:00,8,3.84
2022-01-04 12:00:00+00:00,2022-01-04 21:00:00+00:00,9,2.49
2022-01-04 12:00:00+00:00,2022-01-04 22:00:00+00:00,10,2.68
