meter_id,date,kwh
M100000,2023-04-18,65.864
M100000,2023-04-19,55.867
M100000,2023-04-20,58.347
M100000,2023-04-21,60.255
M100000,2023-04-22,63.027
M100000,2023-04-23,52.096
M100000,2023-04-24,100.236
M100000,2023-04-25,37.8
M100000,2023-04-26,68.569
M100000,2023-04-27,34.654
M100000,2023-04-28,62.996
M100000,2023-04-29,71.207
M100000,2023-04-30,71.043
M100000,2023-05-01,37.884
M100000,2023-05-02,47.342
M100000,2023-05-03,64.962
M100000,2023-05-04,46.5
M100000,2023-05-05,49.479
M100000,2023-05-06,38.29
M100000,2023-05-07,42.881
M100000,2023-05-08,45.559
M100000,2023-05-09,41.547
M100000,2023-05-10,43.105
M100000,2023-05-11,68.868
M100000,2023-05-12,49.382
M100000,2023-05-13,49.89
M100000,2023-05-14,54.105
M100000,2023-05-15,32.236
M100000,2023-05-16,59.823
M100000,2023-05-17,50.387
M100000,2023-05-18,45.015
M100000,2023-05-19,100.586
M100000,2023-05-20,56.391
M100000,2023-05-21,60.371
M100000,2023-05-22,46.161
M100000,2023-05-23,55.029
M100000,2023-05-24,62.264
M100000,2023-05-25,57.753
M100000,2023-05-26,37.748
M100000,2023-05-27,57.55
M100000,2023-05-28,43.718
M100000,2023-05-29,36.866
M100000,2023-05-30,41.117
M100000,2023-05-31,38.693
M100000,2023-06-01,62.649
M100000,2023-06-02,42.285
M100000,2023-06-03,56.546
M100000,2023-06-04,31.824
M100000,2023-06-05,46.331
M100000,2023-06-06,32.834
M100000,2023-06-07,45.445
M100000,2023-06-08,39.422
M100000,2023-06-09,39.085
M100000,2023-06-10,37.624
M100000,2023-06-11,31.864
M100000,2023-06-12,50.259
M100000,2023-06-13,40.835
M100000,2023-06-14,33.911
M100000,2023-06-15,32.199
M100000,2023-06-16,50.091
M100000,2023-06-17,32.169
M100000,2023-06-18,40.111
M100000,2023-06-19,41.438
M100000,2023-06-20,57.568
M100000,2023-06-21,48.4
M100000,2023-06-22,43.684
M100000,2023-06-23,44.226
M100000,2023-06-24,55.718
M100000,2023-06-25,49.482
M100000,2023-06-26,28.158
M100000,2023-06-27,34.294
M100000,2023-06-28,36.949
M100000,2023-06-29,24.838
M100000,2023-06-30,29.301
M100000,2023-07-01,30.548
M100000,2023-07-02,38.347
M100000,2023-07-03,46.664
M100000,2023-07-04,35.3
M100000,2023-07-05,30.783
M100000,2023-07-06,42.569
M100000,2023-07-07,63.014
M100000,2023-07-08,45.626
M100000,2023-07-09,42.676
M100000,2023-07-10,23.432
M100000,2023-07-11,30.251
M100000,2023-07-12,35.072
M100000,2023-07-13,31.58
M100000,2023-07-14,16.658
M100000,2023-07-15,35.469
M100000,2023-07-16,38.747
M100000,2023-07-17,35.106
M100000,2023-07-18,40.405
M100000,2023-07-19,32.509
M100000,2023-07-20,44.591
M100000,2023-07-21,48.102
M100000,2023-07-22,47.154
M100000,2023-07-23,31.707
M100000,2023-07-24,39.403
M100000,2023-07-25,38.294
M100000,2023-07-26,30.012
M100000,2023-07-27,36.341
M100000,2023-07-28,39.764
M100000,2023-07-29,50.884
M100000,2023-07-30,51.27
M100000,2023-07-31,32.177
M100000,2023-08-01,39.853
M100000,2023-08-02,36.141
M100000,2023-08-03,32.302
M100000,2023-08-04,28.74
M100000,2023-08-05,53.328
M100000,2023-08-06,42.587
M100000,2023-08-07,32.727
M100000,2023-08-08,40.762
M100000,2023-08-09,38.653
M100000,2023-08-10,33.738
M100000,2023-08-11,32.74
M100000,2023-08-12,38.633
M100000,2023-08-13,48.162
M100000,2023-08-14,50.624
M100000,2023-08-15,43.582
M100000,2023-08-16,49.994
M100000,2023-08-17,39.36
M100000,2023-08-18,33.691
M100000,2023-08-19,39.345
M100000,2023-08-20,45.408
M100000,2023-08-21,41.866
M100000,2023-08-22,44.471
M100000,2023-08-23,33.476
M100000,2023-08-24,29.709
M100000,2023-08-25,47.322
M100000,2023-08-26,56.576
M100000,2023-08-27,35.893
M100000,2023-08-28,43.283
M100000,2023-08-29,29.1
M100000,2023-08-30,46.548
M100000,2023-08-31,97.101
M100000,2023-09-01,39.825
M100000,2023-09-02,44.717
M100000,2023-09-03,65.521
M100000,2023-09-04,44.147
M100000,2023-09-05,46.964
M100000,2023-09-06,55.274
M100000,2023-09-07,39.23
M100000,2023-09-08,35.324
M100000,2023-09-09,44.428
M100000,2023-09-10,37.502
M100000,2023-09-11,26.267
M100000,2023-09-12,30.149
M100000,2023-09-13,37.728
M100000,2023-09-14,75.713
M100000,2023-09-15,53.771
M100000,2023-09-16,57.389
M100000,2023-09-17,60.454
M100000,2023-09-18,49.317
M100000,2023-09-19,37.182
M100000,2023-09-20,38.148
M100000,2023-09-21,30.05
M100000,2023-09-22,60.179
M100000,2023-09-23,32.359
M100000,2023-09-24,26.768
M100000,2023-09-25,35.27
M100000,2023-09-26,56.052
M100000,2023-09-27,51.274
M100000,2023-09-28,44.797
M100000,2023-09-29,40.124
M100000,2023-09-30,66.722
M100000,2023-10-01,58.918
M100000,2023-10-02,36.003
M100000,2023-10-03,56.323
M100000,2023-10-04,56.781
M100000,2023-10-05,69.307
M100000,2023-10-06,67.182
M100000,2023-10-07,55.615
M100000,2023-10-08,70.556
M100000,2023-10-10,51.007
M100000,2023-10-11,49.375
M100000,2023-10-12,75.746
M100000,2023-10-13,67.234
M100000,2023-10-14,39.835
M100000,2023-10-15,78.362
M100000,2023-10-16,71.194
M100000,2023-10-17,50.389
M100000,2023-10-18,81.19
M100000,2023-10-19,42.411
M100000,2023-10-20,43.039
M100000,2023-10-21,49.443
M100000,2023-10-22,67.411
M100000,2023-10-23,69.38
M100000,2023-10-24,81.333
M100000,2023-10-25,79.392
M100000,2023-10-26,56.301
M100000,2023-10-27,74.622
M100000,2023-10-28,59.283
M100000,2023-10-29,51.795
M100000,2023-10-30,72.578
M100000,2023-10-31,69.905
M100000,2023-11-01,52.442
M100000,2023-11-02,56.671
M100000,2023-11-03,66.335
M100000,2023-11-04,69.43
M100000,2023-11-05,59.736
M100000,2023-11-06,69.047
M100000,2023-11-07,119.923
M100000,2023-11-08,62.374
M100000,2023-11-09,75.351
M100000,2023-11-10,80.232
M100000,2023-11-11,74.277
M100000,2023-11-12,82.69
M100000,2023-11-13,65.76
M100000,2023-11-14,78.499
M100000,2023-11-15,60.934
M100000,2023-11-16,82.776
M100000,2023-11-17,62.818
M100000,2023-11-18,60.768
M100000,2023-11-19,105.409
M100000,2023-11-20,66.103
M100000,2023-11-21,64.284
M100000,2023-11-22,92.197
M100000,2023-11-23,61.122
M100000,2023-11-24,84.886
M100000,2023-11-25,66.564
M100000,2023-11-26,96.852
M100000,2023-11-27,46.976
M100000,2023-11-28,69.928
M100000,2023-11-29,46.861
M100000,2023-11-30,67.082
M100000,2023-12-01,70.491
M100000,2023-12-02,121.897
M100000,2023-12-03,46.164
M100000,2023-12-04,62.68
M100000,2023-12-05,111.354
M100000,2023-12-06,93.98
M100000,2023-12-07,77.805
M100000,2023-12-08,103.074
M100000,2023-12-09,87.796
M100000,2023-12-10,59.332
M100000,2023-12-11,109.081
M100000,2023-12-12,65.109
M100000,2023-12-13,76.55
M100000,2023-12-14,74.146
M100000,2023-12-15,101.893
M100000,2023-12-16,81.52
M100000,2023-12-17,87.568
M100000,2023-12-18,80.74
M100000,2023-12-19,78.518
M100000,2023-12-20,73.556
M100000,2023-12-21,85.551
M100000,2023-12-22,51.907
M100000,2023-12-23,105.17
M100000,2023-12-24,91.967
M100000,2023-12-25,66.028
M100000,2023-12-26,107.448
M100000,2023-12-27,52.312
M100000,2023-12-28,92.563
M100000,2023-12-30,73.265
M100000,2023-12-31,66.047
M100001,2023-01-01,10.676
M100001,2023-01-02,5.849
M100001,2023-01-03,8.639
M100001,2023-01-04,7.508
M100001,2023-01-05,7.121
M100001,2023-01-06,14.554
M100001,2023-01-07,9.555
M100001,2023-01-08,5.333
M100001,2023-01-09,8.089
M100001,2023-01-10,10.412
M100001,2023-01-11,13.38
M100001,2023-01-12,8.505
M100001,2023-01-13,6.938
M100001,2023-01-14,9.339
M100001,2023-01-15,8.376
M100001,2023-01-16,6.507
M100001,2023-01-17,9.332
M100001,2023-01-18,9.26
M100001,2023-01-19,9.68
M100001,2023-01-20,5.746
M100001,2023-01-21,5.716
M100001,2023-01-22,12.023
M100001,2023-01-23,8.616
M100001,2023-01-24,8.556
M100001,2023-01-25,7.463
M100001,2023-01-26,6.787
M100001,2023-01-27,13.05
M100001,2023-01-28,5.515
M100001,2023-01-29,6.677
M100001,2023-01-30,11.402
M100001,2023-01-31,10.536
M100001,2023-02-01,5.172
M100001,2023-02-02,5.994
M100001,2023-02-03,10.817
M100001,2023-02-04,5.735
M100001,2023-02-05,7.487
M100001,2023-02-06,7.181
M100001,2023-02-07,11.874
M100001,2023-02-08,7.847
M100001,2023-02-09,9.601
M100001,2023-02-11,6.653
M100001,2023-02-12,14.319
M100001,2023-02-13,6.895
M100001,2023-02-14,11.689
M100001,2023-02-15,5.456
M100001,2023-02-16,6.227
M100001,2023-02-17,9.583
M100001,2023-02-18,6.552
M100001,2023-02-19,9.65
M100001,2023-02-20,7.482
M100001,2023-02-21,16.382
M100001,2023-02-22,7.685
M100001,2023-02-23,11.713
M100001,2023-02-24,9.49
M100001,2023-02-25,7.975
M100001,2023-02-26,7.772
M100001,2023-02-27,7.372
M100001,2023-02-28,7.022
M100001,2023-03-01,8.254
M100001,2023-03-02,5.203
M100001,2023-03-03,8.335
M100001,2023-03-04,8.367
M100001,2023-03-05,6.204
M100001,2023-03-07,6.787
M100001,2023-03-08,8.258
M100001,2023-03-09,11.915
M100001,2023-03-10,7.832
M100001,2023-03-11,8.113
M100001,2023-03-12,8.067
M100001,2023-03-13,6.422
M100001,2023-03-14,8.298
M100001,2023-03-15,4.131
M100001,2023-03-16,6.073
M100001,2023-03-18,8.732
M100001,2023-03-19,9.644
M100001,2023-03-20,4.767
M100001,2023-03-21,7.958
M100001,2023-03-22,7.716
M100001,2023-03-23,5.722
M100001,2023-03-24,5.242
M100001,2023-03-25,6.443
M100001,2023-03-26,7.996
M100001,2023-03-27,6.114
M100001,2023-03-28,6.351
M100001,2023-03-29,4.196
M100001,2023-03-30,4.67
M100001,2023-03-31,5.352
M100001,2023-04-01,3.984
M100001,2023-04-02,5.719
M100001,2023-04-03,6.781
M100001,2023-04-04,6.966
M100001,2023-04-05,7.121
M100001,2023-04-06,5.291
M100001,2023-04-07,6.305
M100001,2023-04-08,6.235
M100001,2023-04-09,11.102
M100001,2023-04-10,7.183
M100001,2023-04-11,9.377
M100001,2023-04-12,6.978
M100001,2023-04-13,5.697
M100001,2023-04-14,8.103
M100001,2023-04-15,7.813
M100001,2023-04-16,5.399
M100001,2023-04-17,5.497
M100001,2023-04-18,3.814
M100001,2023-04-19,10.921
M100001,2023-04-20,4.914
M100001,2023-04-21,7.006
M100001,2023-04-22,6.467
M100001,2023-04-23,4.932
M100001,2023-04-24,6.66
M100001,2023-04-25,5.381
M100001,2023-04-26,8.538
M100001,2023-04-27,6.759
M100001,2023-04-28,6.426
M100001,2023-04-29,8.588
M100001,2023-04-30,8.691
M100001,2023-05-01,8.805
M100001,2023-05-02,10.966
M100001,2023-05-03,7.33
M100001,2023-05-04,7.069
M100001,2023-05-05,6.617
M100001,2023-05-06,8.507
M100001,2023-05-07,5.624
M100001,2023-05-08,5.308
M100001,2023-05-09,7.519
M100001,2023-05-10,9.064
M100001,2023-05-11,5.73
M100001,2023-05-12,6.962
M100001,2023-05-13,5.771
M100001,2023-05-14,6.637
M100001,2023-05-15,7.156
M100001,2023-05-16,3.514
M100001,2023-05-17,8.758
M100001,2023-05-18,4.357
M100001,2023-05-19,6.862
M100001,2023-05-20,4.025
M100001,2023-05-21,5.28
M100001,2023-05-22,8.688
M100001,2023-05-23,6.916
M100001,2023-05-24,6.604
M100001,2023-05-25,3.837
M100001,2023-05-26,3.306
M100001,2023-05-27,3.637
M100001,2023-05-28,3.002
M100001,2023-05-29,4.404
M100001,2023-05-30,4.87
M100001,2023-05-31,5.565
M100001,2023-06-01,4.588
M100001,2023-06-02,5.295
M100001,2023-06-03,7.724
M100001,2023-06-04,5.987
M100001,2023-06-05,3.257
M100001,2023-06-06,9.041
M100001,2023-06-07,4.887
M100001,2023-06-08,3.414
M100001,2023-06-09,5.155
M100001,2023-06-10,6.365
M100001,2023-06-11,6.085
M100001,2023-06-12,3.351
M100001,2023-06-13,4.819
M100001,2023-06-14,3.886
M100001,2023-06-15,5.079
M100001,2023-06-16,4.588
M100001,2023-06-17,3.654
M100001,2023-06-18,3.883
M100001,2023-06-19,4.739
M100001,2023-06-20,3.671
M100001,2023-06-21,4.817
M100001,2023-06-22,4.418
M100001,2023-06-23,3.038
M100001,2023-06-24,4.667
M100001,2023-06-25,5.09
M100001,2023-06-26,5.171
M100001,2023-06-27,4.071
M100001,2023-06-28,4.185
M100001,2023-06-29,7.441
M100001,2023-06-30,2.711
M100001,2023-07-01,5.863
M100001,2023-07-02,4.825
M100001,2023-07-03,3.61
M100001,2023-07-04,3.577
M100001,2023-07-05,2.677
M100001,2023-07-06,3.57
M100001,2023-07-07,4.189
M100001,2023-07-08,5.398
M100001,2023-07-10,3.499
M100001,2023-07-11,4.769
M100001,2023-07-12,5.726
M100001,2023-07-13,2.586
M100001,2023-07-14,3.999
M100001,2023-07-15,5.604
M100001,2023-07-16,4.628
M100001,2023-07-17,5.589
M100001,2023-07-18,4.976
M100001,2023-07-19,2.667
M100001,2023-07-20,2.963
M100001,2023-07-21,4.873
M100001,2023-07-22,3.468
M100001,2023-07-24,4.498
M100001,2023-07-25,3.634
M100001,2023-07-26,3.571
M100001,2023-07-27,5.649
M100001,2023-07-28,3.644
M100001,2023-07-29,2.884
M100001,2023-07-30,3.606
M100001,2023-07-31,4.638
M100001,2023-08-01,3.891
M100001,2023-08-02,3.043
M100001,2023-08-03,3.55
M100001,2023-08-04,3.866
M100001,2023-08-05,2.21
M100001,2023-08-06,7.149
M100001,2023-08-07,3.911
M100001,2023-08-08,4.207
M100001,2023-08-09,4.619
M100001,2023-08-10,4.033
M100001,2023-08-11,3.285
M100001,2023-08-12,3.066
M100001,2023-08-13,4.441
M100001,2023-08-14,5.043
M100001,2023-08-15,3.58
M100001,2023-08-16,4.253
M100001,2023-08-17,3.227
M100001,2023-08-18,5.54
M100001,2023-08-19,4.713
M100001,2023-08-20,4.317
M100001,2023-08-21,5.477
M100001,2023-08-22,3.154
M100001,2023-08-23,3.582
M100001,2023-08-24,2.414
M100001,2023-08-25,4.624
M100001,2023-08-26,3.234
M100001,2023-08-27,5.44
M100001,2023-08-28,4.861
M100001,2023-08-29,5.511
M100001,2023-08-30,3.834
M100001,2023-08-31,4.832
M100001,2023-09-02,3.606
M100001,2023-09-03,4.082
M100001,2023-09-04,3.278
M100001,2023-09-05,4.414
M100001,2023-09-06,4.335
M100001,2023-09-07,4.339
M100001,2023-09-08,5.229
M100001,2023-09-09,4.337
M100001,2023-09-10,4.901
M100001,2023-09-11,5.748
M100001,2023-09-12,4.379
M100001,2023-09-13,4.039
M100001,2023-09-14,5.944
M100001,2023-09-15,5.438
M100001,2023-09-16,6.754
M100001,2023-09-17,3.84
M100001,2023-09-18,6.33
M100001,2023-09-19,6.609
M100001,2023-09-20,5.331
M100001,2023-09-21,5.152
M100001,2023-09-22,5.106
M100001,2023-09-23,4.432
M100001,2023-09-24,7.264
M100001,2023-09-25,5.829
M100001,2023-09-26,3.627
M100001,2023-09-27,5.775
M100001,2023-09-28,7.769
M100001,2023-09-29,4.577
M100001,2023-09-30,7.508
M100001,2023-10-01,7.785
M100001,2023-10-02,4.458
M100001,2023-10-03,5.886
M100001,2023-10-04,4.807
M100001,2023-10-05,8.98
M100001,2023-10-06,7.907
M100001,2023-10-07,3.712
M100001,2023-10-08,4.583
M100001,2023-10-09,7.312
M100001,2023-10-10,7.914
M100001,2023-10-11,6.745
M100001,2023-10-12,5.117
M100001,2023-10-13,7.146
M100001,2023-10-14,6.896
M100001,2023-10-15,3.961
M100001,2023-10-16,7.351
M100001,2023-10-17,6.407
M100001,2023-10-18,6.63
M100001,2023-10-19,6.372
M100001,2023-10-20,6.403
M100001,2023-10-21,8.937
M100001,2023-10-22,8.193
M100001,2023-10-23,4.447
M100001,2023-10-24,6.126
M100001,2023-10-25,8.541
M100001,2023-10-27,8.834
M100001,2023-10-28,4.828
M100001,2023-10-29,10.621
M100001,2023-10-30,5.086
M100001,2023-10-31,6.643
M100001,2023-11-01,4.861
M100001,2023-11-02,6.577
M100001,2023-11-03,8.527
M100001,2023-11-04,7.222
M100001,2023-11-05,7.809
M100001,2023-11-06,6.02
M100001,2023-11-07,7.215
M100001,2023-11-08,4.491
M100001,2023-11-09,7.969
M100001,2023-11-10,8.328
M100001,2023-11-11,10.486
M100001,2023-11-12,7.159
M100001,2023-11-13,6.586
M100001,2023-11-14,6.724
M100001,2023-11-15,5.395
M100001,2023-11-16,7.319
M100001,2023-11-17,11.549
M100001,2023-11-18,11.317
M100001,2023-11-19,6.956
M100001,2023-11-20,9.281
M100001,2023-11-21,7.094
M100001,2023-11-22,11.574
M100001,2023-11-23,11.739
M100001,2023-11-24,10.062
M100001,2023-11-25,8.52
M100001,2023-11-26,6.362
M100001,2023-11-27,5.762
M100001,2023-11-28,5.622
M100001,2023-11-29,9.302
M100001,2023-11-30,7.196
M100001,2023-12-01,5.737
M100001,2023-12-02,13.595
M100001,2023-12-03,9.481
M100001,2023-12-04,8.223
M100001,2023-12-05,8.997
M100001,2023-12-06,8.851
M100001,2023-12-07,7.023
M100001,2023-12-08,5.626
M100001,2023-12-09,8.663
M100001,2023-12-10,5.934
M100001,2023-12-11,7.027
M100001,2023-12-12,10.228
M100001,2023-12-13,9.599
M100001,2023-12-14,11.347
M100001,2023-12-15,12.201
M100001,2023-12-16,4.601
M100001,2023-12-17,10.866
M100001,2023-12-18,8.827
M100001,2023-12-19,10.959
M100001,2023-12-20,6.217
M100001,2023-12-21,5.984
M100001,2023-12-22,8.476
M100001,2023-12-23,6.518
M100001,2023-12-24,7.583
M100001,2023-12-25,6.747
M100001,2023-12-26,5.132
M100001,2023-12-27,11.619
M100001,2023-12-28,6.319
M100001,2023-12-29,8.299
M100001,2023-12-30,7.87
M100001,2023-12-31,6.394
M100002,2023-01-01,8.636
M100002,2023-01-02,11.918
M100002,2023-01-03,9.957
M100002,2023-01-04,13.63
M100002,2023-01-05,10.377
M100002,2023-01-06,19.623
M100002,2023-01-07,12.911
M100002,2023-01-08,9.803
M100002,2023-01-09,11.397
M100002,2023-01-10,12.109
M100002,2023-01-11,9.873
M100002,2023-01-12,13.278
M100002,2023-01-13,13.418
M100002,2023-01-14,13.701
M100002,2023-01-15,15.64
M100002,2023-01-16,11.862
M100002,2023-01-17,11.0
M100002,2023-01-18,10.229
M100002,2023-01-19,9.332
M100002,2023-01-20,13.467
M100002,2023-01-21,14.724
M100002,2023-01-22,11.256
M100002,2023-01-23,21.151
M100002,2023-01-25,16.963
M100002,2023-01-26,18.564
M100002,2023-01-27,13.02
M100002,2023-01-28,18.26
M100002,2023-01-29,13.843
M100002,2023-01-30,12.308
M100002,2023-01-31,10.767
M100002,2023-02-01,16.355
M100002,2023-02-02,10.238
M100002,2023-02-03,14.938
M100002,2023-02-04,14.15
M100002,2023-02-05,10.449
M100002,2023-02-06,13.838
M100002,2023-02-07,9.098
M100002,2023-02-08,11.571
M100002,2023-02-09,15.816
M100002,2023-02-10,18.155
M100002,2023-02-11,11.504
M100002,2023-02-12,11.237
M100002,2023-02-13,21.4
M100002,2023-02-14,18.47
M100002,2023-02-15,14.964
M100002,2023-02-16,14.827
M100002,2023-02-17,11.771
M100002,2023-02-18,17.765
M100002,2023-02-19,12.047
M100002,2023-02-20,14.741
M100002,2023-02-21,14.895
M100002,2023-02-22,11.984
M100002,2023-02-23,14.186
M100002,2023-02-24,12.4
M100002,2023-02-25,8.804
M100002,2023-02-26,10.936
M100002,2023-02-27,7.933
M100002,2023-02-28,21.117
M100002,2023-03-01,8.228
M100002,2023-03-02,10.489
M100002,2023-03-03,10.111
M100002,2023-03-04,15.811
M100002,2023-03-05,9.917
M100002,2023-03-06,15.908
M100002,2023-03-07,9.234
M100002,2023-03-08,17.628
M100002,2023-03-09,13.602
M100002,2023-03-10,9.394
M100002,2023-03-11,10.822
M100002,2023-03-12,8.854
M100002,2023-03-13,10.475
M100002,2023-03-14,10.009
M100002,2023-03-15,8.222
M100002,2023-03-16,10.599
M100002,2023-03-17,8.199
M100002,2023-03-18,13.908
M100002,2023-03-19,13.002
M100002,2023-03-20,16.467
M100002,2023-03-22,16.945
M100002,2023-03-23,7.858
M100002,2023-03-24,10.218
M100002,2023-03-25,13.055
M100002,2023-03-26,9.443
M100002,2023-03-27,13.515
M100002,2023-03-28,7.212
M100002,2023-03-29,8.214
M100002,2023-03-30,9.258
M100002,2023-03-31,12.437
M100002,2023-04-01,16.78
M100002,2023-04-02,9.21
M100002,2023-04-03,8.691
M100002,2023-04-04,8.977
M100002,2023-04-05,10.104
M100002,2023-04-06,9.341
M100002,2023-04-08,12.523
M100002,2023-04-09,12.143
M100002,2023-04-10,12.726
M100002,2023-04-11,13.012
M100002,2023-04-12,11.043
M100002,2023-04-13,10.161
M100002,2023-04-14,7.832
M100002,2023-04-15,11.623
M100002,2023-04-16,9.21
M100002,2023-04-17,9.215
M100002,2023-04-18,11.611
M100002,2023-04-19,8.753
M100002,2023-04-20,8.844
M100002,2023-04-21,7.135
M100002,2023-04-22,8.273
M100002,2023-04-23,9.117
M100002,2023-04-24,11.515
M100002,2023-04-25,10.445
M100002,2023-04-26,6.224
M100002,2023-04-27,8.855
M100002,2023-04-28,9.049
M100002,2023-04-29,6.155
M100002,2023-05-01,6.351
M100002,2023-05-02,10.083
M100002,2023-05-03,7.316
M100002,2023-05-04,7.464
M100002,2023-05-05,8.349
M100002,2023-05-06,13.488
M100002,2023-05-07,7.445
M100002,2023-05-08,6.925
M100002,2023-05-09,11.59
M100002,2023-05-10,8.029
M100002,2023-05-11,7.135
M100002,2023-05-12,8.883
M100002,2023-05-13,8.966
M100002,2023-05-14,7.855
M100002,2023-05-15,6.915
M100002,2023-05-16,9.817
M100002,2023-05-17,8.562
M100002,2023-05-18,10.52
M100002,2023-05-19,8.579
M100002,2023-05-20,7.035
M100002,2023-05-21,8.204
M100002,2023-05-22,7.558
M100002,2023-05-23,6.899
M100002,2023-05-24,5.26
M100002,2023-05-25,6.846
M100002,2023-05-26,6.763
M100002,2023-05-27,9.269
M100002,2023-05-28,5.995
M100002,2023-05-29,7.729
M100002,2023-05-30,4.549
M100002,2023-05-31,15.171
M100002,2023-06-01,8.694
M100002,2023-06-02,6.806
M100002,2023-06-03,6.679
M100002,2023-06-04,5.485
M100002,2023-06-05,7.191
M100002,2023-06-06,6.164
M100002,2023-06-07,4.521
M100002,2023-06-08,7.937
M100002,2023-06-09,6.21
M100002,2023-06-10,9.961
M100002,2023-06-11,10.703
M100002,2023-06-12,10.925
M100002,2023-06-13,6.485
M100002,2023-06-14,5.042
M100002,2023-06-15,5.48
M100002,2023-06-16,8.658
M100002,2023-06-17,11.921
M100002,2023-06-18,11.376
M100002,2023-06-19,5.535
M100002,2023-06-20,5.898
M100002,2023-06-21,7.993
M100002,2023-06-22,7.594
M100002,2023-06-23,7.257
M100002,2023-06-24,7.278
M100002,2023-06-25,6.57
M100002,2023-06-26,6.41
M100002,2023-06-27,5.371
M100002,2023-06-28,6.915
M100002,2023-06-29,5.36
M100002,2023-06-30,7.735
M100002,2023-07-01,7.583
M100002,2023-07-02,5.696
M100002,2023-07-03,5.461
M100002,2023-07-04,5.842
M100002,2023-07-05,6.173
M100002,2023-07-06,9.562
M100002,2023-07-07,3.709
M100002,2023-07-08,8.651
M100002,2023-07-09,11.175
M100002,2023-07-10,5.023
M100002,2023-07-11,6.326
M100002,2023-07-12,6.136
M100002,2023-07-13,7.015
M100002,2023-07-14,4.656
M100002,2023-07-15,4.022
M100002,2023-07-16,6.771
M100002,2023-07-17,3.409
M100002,2023-07-18,6.16
M100002,2023-07-19,9.715
M100002,2023-07-20,6.381
M100002,2023-07-21,8.376
M100002,2023-07-22,6.48
M100002,2023-07-23,7.307
M100002,2023-07-24,5.555
M100002,2023-07-25,7.937
M100002,2023-07-26,8.777
M100002,2023-07-27,4.294
M100002,2023-07-28,6.397
M100002,2023-07-29,7.776
M100002,2023-07-30,5.698
M100002,2023-07-31,3.87
M100002,2023-08-01,3.56
M100002,2023-08-02,6.072
M100002,2023-08-03,5.507
M100002,2023-08-04,6.484
M100002,2023-08-05,8.27
M100002,2023-08-06,6.745
