meter_id,region,tariff,customer_type,annual_kwh_estimate,signup_date,has_solar
M100036,Scotland,Fixed,residential,3719.0,2021-10-17,False
M100037,North,Variable,residential,3986.0,2021-07-04,False
M100038,North,Variable,residential,3074.0,2022-06-20,False
M100039,North,Variable,sme,20278.0,2021-12-18,False
M100040,Scotland,Fixed,residential,1523.0,2022-03-14,False
M100041,Scotland,Variable,residential,3532.0,2022-08-09,False
M100042,Wales,Variable,residential,2378.0,2021-03-26,False
M100043,Wales,Fixed,residential,,2022-09-01,False
M100044,London,Fixed,residential,3173.0,2021-02-25,False
M100045,Midlands,Variable,residential,4011.0,2022-11-07,False
M100046,Midlands,Fixed,residential,3971.0,2021-10-18,False
M100047,Scotland,,residential,2895.0,2021-08-27,False
M100048,Midlands,Variable,residential,3536.0,2021-01-11,False
M100049,North,TOU,residential,2274.0,2021-10-29,True
M100050,Scotland,Variable,residential,3457.0,2022-03-18,False
M100051,Scotland,Variable,residential,2804.0,2021-10-31,False
M100052,North,TOU,residential,3479.0,2021-02-20,False
M100053,Scotland,Variable,residential,4424.0,2022-09-08,False
M100054,North,Variable,sme,35063.0,2022-09-22,False
M100055,London,Variable,residential,1744.0,2021-08-07,False
M100056,Midlands,Fixed,residential,2756.0,2021-12-11,False
M100057,London,Variable,sme,21851.0,2021-06-16,False
M100058,London,Fixed,sme,18916.0,2021-01-20,False
M100059,London,Fixed,residential,2429.0,2021-01-23,False
M100060,North,Variable,residential,3966.0,2021-10-20,False
M100061,Wales,TOU,residential,4476.0,2021-06-05,False
M100062,North,Variable,residential,2198.0,2021-01-05,False
M100063,North,Variable,residential,2490.0,2022-03-02,False
M100064,London,TOU,residential,2692.0,2022-04-06,True
M100065,Scotland,Fixed,residential,3775.0,2022-07-12,False
M100066,London,Variable,residential,4688.0,2021-10-04,False
M100067,Midlands,Fixed,residential,2652.0,2022-10-05,False
M100068,North,TOU,residential,3464.0,2022-03-12,False
M100069,Wales,Fixed,residential,3997.0,2021-09-18,False
M100070,London,Fixed,residential,3621.0,2022-03-29,True
M100071,North,,residential,2464.0,2022-07-11,False
M100072,Midlands,TOU,residential,3465.0,2021-05-04,True
M100073,London,Fixed,sme,28820.0,2021-04-23,False
M100074,London,Variable,residential,4650.0,2021-10-17,False
M100075,North,Fixed,residential,3619.0,2021-08-01,False
M100076,London,TOU,residential,3085.0,2021-10-21,False
M100077,London,TOU,residential,3839.0,2021-11-08,False
M100078,London,Fixed,residential,3051.0,2022-04-19,True
M100079,Midlands,TOU,sme,28668.0,2022-07-31,False
M100080,Scotland,Fixed,residential,2253.0,2022-06-01,False
M100081,Wales,TOU,residential,2565.0,2021-03-19,True
M100082,Scotland,Fixed,residential,,2022-01-31,True
M100083,Wales,Fixed,residential,1034.0,2022-04-29,False
M100084,wales,Fixed,residential,4718.0,2022-08-14,False
M100085,Midlands,Variable,sme,15654.0,2021-05-02,False
M100086,North,TOU,residential,2899.0,2022-08-25,False
M100087,Scotland,TOU,residential,1465.0,2021-06-04,False
M100088,Scotland,Fixed,residential,3296.0,2021-01-14,False
M100089,London,Fixed,residential,3679.0,2021-02-09,False
M100090,Wales,Fixed,residential,4012.0,2021-03-30,False
M100091,Scotland,Fixed,residential,2307.0,2022-06-29,False
M100092,Midlands,Variable,residential,2206.0,2021-09-30,False
M100093,North,TOU,residential,3126.0,2021-04-13,False
M100094,Midlands,TOU,residential,2703.0,2021-02-16,False
M100095,London,Variable,residential,2927.0,2022-08-01,False
M100096,London,Fixed,residential,2630.0,2022-05-02,False
M100097,Wales,TOU,residential,3741.0,2021-07-09,False
M100098,Wales,Fixed,residential,3070.0,2022-04-26,False
M100099,Wales,Variable,residential,4143.0,2021-04-26,False
M100100,North,TOU,residential,3158.0,2021-12-13,False
M100101,Midlands,Fixed,residential,3324.0,2021-11-26,False
M100102,Scotland,Fixed,residential,3738.0,2021-08-04,False
M100103,Midlands,Fixed,residential,,2021-06-03,False
M100104,Scotland,TOU,residential,3144.0,2021-01-09,False
M100105,Wales,Fixed,sme,21078.0,2021-02-04,True
M100106,North,Fixed,sme,26805.0,2022-02-19,False
M100107,North,Variable,sme,29511.0,2022-03-12,False
M100108,Scotland,Variable,sme,23452.0,2022-01-01,False
M100109,London,Fixed,residential,1627.0,2021-10-04,True
M100110,London,TOU,residential,2562.0,2022-04-27,False
M100111,Midlands,TOU,residential,4172.0,2021-07-26,False
M100112,North,Fixed,residential,3396.0,2022-04-13,False
M100113,London,Variable,residential,4129.0,2021-01-22,False
M100114,Scotland,Variable,residential,1842.0,2022-08-13,False
M100115,Midlands,,residential,2760.0,2021-06-07,False
M100116,North,TOU,residential,,2021-07-02,True
M100117,Scotland,Fixed,sme,30281.0,2021-01-13,False
M100118,Midlands,Variable,residential,3104.0,2021-09-08,False
M100119,North,Fixed,residential,3153.0,2022-02-01,True
M100120,North,Variable,residential,3697.0,2021-12-22,False
M100121,North,Fixed,residential,1750.0,2021-01-16,True
M100122,Midlands,,residential,2874.0,2021-09-15,False
M100123,Scotland,Fixed,residential,1998.0,2021-05-04,False
M100124,Wales,Fixed,sme,23337.0,2022-07-06,False
M100125,London,TOU,residential,3264.0,2021-03-04,False
M100126,Wales,Variable,residential,3920.0,2021-04-20,False
M100127,London,TOU,residential,4256.0,2021-08-29,False
M100128,Wales,Variable,residential,4529.0,2021-06-13,False
M100129,North,Variable,residential,3358.0,2022-11-10,False
M100130,North,TOU,residential,2612.0,2022-09-08,False
M100131,London,Variable,residential,3460.0,2022-07-07,True
M100132,Scotland,Fixed,residential,3602.0,2022-09-02,True
M100133,Scotland,Fixed,residential,2743.0,2022-08-17,False
M100134,north,Fixed,residential,3965.0,2022-09-06,False
M100135,Midlands,Variable,residential,4183.0,2021-01-27,False
M100136,Midlands,Variable,residential,3924.0,2022-10-20,False
M100137,London,Fixed,residential,3054.0,2021-08-10,False
M100138,Scotland,TOU,residential,2513.0,2022-05-21,False
M100139,Midlands,Variable,residential,3526.0,2022-01-10,False
M100140,North,Fixed,residential,3573.0,2021-02-07,False
M100141,Wales,Fixed,sme,29568.0,2022-11-15,False
M100142,Scotland,,residential,2031.0,2021-01-17,False
M100143,Scotland,Fixed,residential,2516.0,2021-03-01,False
M100144,Midlands,Fixed,residential,3290.0,2022-07-21,False
M100145,Scotland,TOU,residential,2921.0,2021-11-06,False
M100146,London,TOU,residential,4191.0,2021-12-29,False
M100147,Wales,Fixed,residential,3156.0,2022-05-01,False
M100148,London,Fixed,residential,3696.0,2021-05-29,False
M100149,North,Fixed,residential,2970.0,2021-09-13,False
M100150,Midlands,TOU,residential,4554.0,2022-06-25,False
M100151,London,Fixed,residential,4286.0,2021-03-24,False
M100152,North,Fixed,residential,1331.0,2021-11-02,False
M100153,North,Variable,residential,3029.0,2021-03-25,False
M100154,London,Fixed,residential,4262.0,2022-02-04,False
M100155,Scotland,Variable,residential,3225.0,2021-01-01,False
M100156,Midlands,Variable,residential,2755.0,2022-05-30,False
M100157,North,Variable,residential,1630.0,2021-05-19,True
M100158,Scotland,Fixed,residential,1550.0,2021-10-18,False
M100159,London,Variable,residential,3991.0,2021-03-03,False
M100160,North,Fixed,sme,33302.0,2021-09-07,False
M100161,Scotland,TOU,residential,2815.0,2022-11-05,False
M100162,Wales,Variable,residential,2053.0,2021-04-24,False
M100163,London,TOU,residential,3279.0,2021-01-16,False
M100164,Scotland,Fixed,residential,3203.0,2021-07-25,False
M100165,North,Fixed,residential,2593.0,2022-01-26,False
M100166,Scotland,TOU,residential,4666.0,2021-11-05,False
M100167,North,Fixed,residential,2158.0,2022-07-19,False
M100168,London,Variable,residential,,2021-11-10,False
M100169,London,TOU,residential,5814.0,2021-01-17,False
M100170,North,Fixed,residential,5138.0,2021-11-03,False
M100171,London,Variable,residential,3954.0,2022-05-17,False
M100172,Midlands,Variable,residential,2725.0,2022-05-07,False
M100173,London,Variable,sme,23426.0,2021-01-23,False
M100174,London,Fixed,residential,2271.0,2022-05-30,False
M100175,North,Fixed,residential,1815.0,2022-11-16,False
M100176,London,Variable,residential,2661.0,2022-09-07,True
M100177,London,Fixed,residential,2514.0,2022-04-25,False
M100178,London,Fixed,residential,3039.0,2021-05-19,False
M100179,London,Fixed,residential,2228.0,2021-09-19,False
M100180,North,Fixed,residential,3624.0,2021-05-31,True
M100181,North,Fixed,residential,2673.0,2021-02-11,False
M100182,London,Fixed,residential,2710.0,2022-10-10,False
M100183,Scotland,Fixed,residential,2904.0,2022-06-18,False
M100184,Midlands,Fixed,residential,1952.0,2022-09-30,False
M100185,London,Fixed,residential,2208.0,2021-09-12,False
M100186,Wales,Variable,residential,2506.0,2022-04-11,False
M100187,North,Fixed,residential,1603.0,2021-03-02,False
M100188,London,Variable,residential,3397.0,2022-10-11,True
M100189,North,Variable,sme,26199.0,2022-10-11,False
M100190,London,Fixed,residential,3287.0,2022-02-05,False
M100191,London,TOU,sme,22670.0,2021-05-29,False
M100192,London,Fixed,residential,4835.0,2022-02-21,True
M100193,Midlands,TOU,residential,3510.0,2021-10-12,False
M100194,Scotland,Fixed,residential,3602.0,2022-05-03,True
M100195,Wales,Fixed,residential,2671.0,2022-10-14,False
M100196,London,Variable,residential,3638.0,2021-06-26,False
M100197,London,TOU,residential,2927.0,2021-11-12,False
M100198,London,Fixed,residential,4521.0,2021-01-31,False
M100199,Midlands,Variable,residential,1480.0,2022-10-02,False
M100200,London,Fixed,residential,3380.0,2022-10-27,False
M100201,Wales,Variable,residential,3092.0,2022-11-23,False
M100202,Midlands,,residential,3709.0,2022-08-08,False
M100203,Scotland,Variable,residential,4589.0,2022-05-09,True
M100204,Midlands,TOU,sme,17369.0,2022-09-06,False
M100205,North,Fixed,residential,3298.0,2022-03-19,False
M100206,London,Variable,residential,3426.0,2022-01-06,True
M100207,London,Fixed,residential,1203.0,2021-10-18,False
M100208,North,Variable,residential,3232.0,2021-05-02,False
M100209,London,Fixed,sme,20820.0,2021-07-24,False
M100210,Midlands,Fixed,residential,3152.0,2022-06-24,False
M100211,london,,residential,2583.0,2022-01-03,False
M100212,Wales,TOU,residential,2255.0,2022-10-23,False
M100213,Scotland,Fixed,residential,2935.0,2022-01-01,False
M100214,North,Fixed,residential,3041.0,2021-01-02,False
M100215,London,Variable,residential,1973.0,2021-06-05,False
M100216,Midlands,Fixed,residential,3352.0,2022-03-17,False
M100217,london,Variable,residential,3551.0,2022-01-03,False
M100218,North,TOU,residential,2809.0,2021-10-23,False
M100219,Midlands,Fixed,residential,,2021-07-03,False
M100220,Scotland,Variable,residential,3319.0,2022-01-05,False
M100221,North,Fixed,residential,2806.0,2021-02-08,False
M100222,London,Fixed,residential,4445.0,2022-08-06,False
M100223,North,Fixed,residential,2760.0,2021-04-14,False
M100224,London,Variable,residential,3110.0,2022-10-26,False
M100225,Scotland,Variable,residential,2447.0,2022-04-09,False
M100226,London,Fixed,residential,1393.0,2022-03-07,False
M100227,London,Fixed,sme,21381.0,2022-06-30,False
M100228,London,Variable,residential,3512.0,2022-04-03,True
M100229,Scotland,Fixed,residential,3457.0,2022-01-11,True
M100230,London,,residential,2659.0,2021-02-23,False
M100231,London,Variable,residential,3896.0,2022-04-15,False
M100232,Midlands,TOU,residential,4068.0,2021-10-14,False
M100233,London,Fixed,residential,2679.0,2022-03-25,False
M100234,London,Fixed,sme,27372.0,2022-06-20,False
M100235,Scotland,Fixed,residential,3017.0,2022-09-24,False
M100236,London,,sme,33971.0,2021-02-25,False
M100237,London,Fixed,residential,2992.0,2022-08-12,False
M100238,North,Fixed,residential,4380.0,2022-10-08,False
M100239,London,Fixed,residential,3350.0,2021-05-07,False
M100240,Midlands,Variable,sme,36818.0,2021-06-10,False
M100241,London,Fixed,residential,2990.0,2021-08-22,True
M100242,Scotland,Fixed,residential,1687.0,2021-03-22,False
M100243,Wales,Fixed,sme,31820.0,2022-01-20,False
M100244,Scotland,Variable,residential,4097.0,2021-04-17,False
M100245,North,Fixed,residential,1921.0,2021-04-06,False
M100246,North,Fixed,sme,20621.0,2021-04-08,False
M100247,Scotland,Variable,residential,3512.0,2021-05-05,False
M100248,Scotland,Fixed,residential,2525.0,2022-01-03,False
M100249,Midlands,TOU,residential,4253.0,2021-02-15,False
M100250,Midlands,Variable,residential,2859.0,2022-06-10,False
M100251,London,Fixed,residential,3106.0,2021-01-10,True
M100252,London,TOU,residential,3107.0,2021-04-20,False
M100253,North,Fixed,residential,3785.0,2021-06-14,False
M100254,Midlands,Fixed,residential,3140.0,2021-11-10,False
M100255,Midlands,Fixed,residential,3205.0,2021-01-22,False
M100256,London,TOU,residential,3162.0,2022-03-13,False
M100257,London,TOU,residential,3097.0,2021-10-08,False
M100258,London,Fixed,residential,3369.0,2022-03-27,False
M100259,North,Fixed,residential,2245.0,2022-08-17,True
M100260,North,Fixed,residential,3532.0,2022-01-09,False
M100261,Wales,Variable,residential,3290.0,2021-07-09,False
M100262,Scotland,Fixed,residential,5065.0,2021-10-21,True
M100263,North,Fixed,residential,1568.0,2021-05-06,False
M100264,Midlands,Variable,residential,1991.0,2022-08-31,False
M100265,London,Variable,residential,2119.0,2021-05-21,False
M100266,Scotland,Fixed,residential,3890.0,2021-08-03,False
M100267,North,Variable,residential,4053.0,2022-11-28,False
M100268,London,Variable,residential,3142.0,2022-05-30,False
M100269,Scotland,Fixed,residential,2513.0,2021-03-16,True
M100270,North,TOU,residential,2626.0,2022-06-06,False
M100271,Scotland,Variable,residential,2666.0,2021-06-18,False
M100272,London,Variable,residential,3691.0,2022-04-18,False
M100273,London,Fixed,residential,2821.0,2021-05-20,False
M100274,London,Variable,residential,3026.0,2022-02-24,False
M100275,North,Fixed,residential,930.0,2022-02-01,False
M100276,Wales,Variable,sme,13740.0,2022-04-30,False
M100277,Wales,Variable,residential,2609.0,2021-01-11,False
M100278,Midlands,Variable,sme,13937.0,2022-06-30,False
M100279,London,Fixed,residential,3999.0,2021-07-27,False
M100280,North,TOU,residential,2317.0,2022-08-31,False
M100281,North,Fixed,residential,3572.0,2022-07-10,False
M100282,Scotland,Variable,residential,2226.0,2022-02-17,False
M100283,Scotland,Variable,residential,3496.0,2021-09-18,True
M100284,Scotland,Fixed,residential,2146.0,2022-07-03,False
M100285,North,TOU,residential,3072.0,2022-06-30,False
M100286,midlands,Variable,residential,3222.0,2022-04-11,False
M100287,Wales,TOU,residential,4304.0,2022-03-28,False
M100288,Scotland,TOU,residential,1601.0,2022-05-09,False
M100289,Midlands,,sme,30078.0,2021-03-29,False
M100290,North,Fixed,residential,3131.0,2022-11-17,True
M100291,North,Fixed,residential,3822.0,2022-10-17,False
M100292,Wales,Fixed,residential,3060.0,2021-12-02,False
M100293,Scotland,Variable,sme,21331.0,2022-02-16,False
M100294,Midlands,Variable,residential,2352.0,2021-08-09,False
M100295,Wales,Fixed,residential,3247.0,2021-05-31,False
M100296,London,Fixed,residential,3481.0,2022-03-07,False
M100297,London,Fixed,residential,2888.0,2022-11-19,True
M100298,Wales,Fixed,residential,3496.0,2021-09-12,False
M100299,London,Variable,residential,2355.0,2021-09-28,False
